participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P04,visual_only,fragile,4,1.0,,0.9842,2.5588,,6.550735863671584,,
P04,visual_only,fragile,5,1.0,,0.9842,3.0969,,5.671083398285275,,
P05,lra,deformable,1,,,0.2239,4.9586,,0.09257329959815447,,
P05,lra,deformable,2,,,0.2064,3.8849,,0.01312145491165973,,
P05,lra,deformable,3,,,0.2808,4.6273,,0.0770979743695742,,
P05,lra,deformable,4,,,0.4609,4.5487,,0.2242592197825623,,
P05,lra,deformable,5,,,0.5758,2.9538,,0.31649054918886743,,
P05,lra,fragile,1,1.0,,0.7284,5.6199,,0.5661697036628018,,
P05,lra,fragile,2,1.0,,0.8551,7.6314,,1.4895586652314312,,
P05,lra,fragile,3,1.0,,0.7046,6.7492,,2.502777777777776,,
P05,lra,fragile,4,1.0,,0.7245,4.4833,,0.8113254823352548,,
P05,lra,fragile,5,1.0,,0.8052,4.0257,,2.3957115009746595,,
P05,em,deformable,1,,,0.1631,2.6882,,0.11244143675169191,,
P05,em,deformable,2,,,0.3911,4.0862,,0.7199404761904755,,
P05,em,deformable,3,,,0.2959,4.5614,,0.08309903155263978,,
P05,em,deformable,4,,,0.2222,3.5623,,0.08604302151075534,,
P05,em,deformable,5,,,0.1838,4.5618,,0.13437499999999983,,
P05,em,fragile,1,1.0,,0.9842,2.9601,,1.873923257635083,,
P05,em,fragile,2,1.0,,0.1632,3.6916,,,,
P05,em,fragile,3,1.0,,0.9558,4.09,,1.5565142364106974,,
P05,em,fragile,4,1.0,,0.8435,4.7002,,1.298344267416432,,
P05,em,fragile,5,1.0,,0.8552,3.3526,,0.7215384615384564,,
P05,visual_only,deformable,1,,,0.1672,4.8271,,,,
P05,visual_only,deformable,2,,,0.1631,6.348,,,,
P05,visual_only,deformable,3,,,0.1625,3.7511,,,,
P05,visual_only,deformable,4,,,0.3415,2.6868,,1.412822517591865,,
P05,visual_only,deformable,5,,,0.5747,4.5642,,2.119729307652255,,
P05,visual_only,fragile,1,0.0,,0.9842,2.8899,,0.902903946388682,,
P05,visual_only,fragile,2,1.0,,0.9842,5.0139,,2.26952748312439,,
P05,visual_only,fragile,3,1.0,,0.9842,3.2166,,3.2490421455938745,,
P05,visual_only,fragile,4,1.0,,0.374,3.5585,,2.2445482866043602,,
P05,visual_only,fragile,5,1.0,,0.9842,3.7496,,,,
P06,lra,deformable,1,,,0.2803,6.6263,,0.639175257731958,,
P06,lra,deformable,2,,,0.2392,3.828,,0.031658331989030494,,
P06,lra,deformable,3,,,0.3482,2.4163,,0.22222222222222227,,
P06,lra,deformable,4,,,0.2729,3.2891,,0.08219286448856893,,
P06,lra,deformable,5,,,0.3456,3.0813,,0.1999666722212964,,
P06,lra,fragile,1,1.0,,0.6032,3.3562,,3.3136792452830135,,
P06,lra,fragile,2,1.0,,0.5814,3.8872,,0.670013260087138,,
P06,lra,fragile,3,1.0,,0.9842,4.626,,3.369992144540457,,
P06,lra,fragile,4,1.0,,0.9062,4.7574,,1.7245908699397057,,
P06,lra,fragile,5,1.0,,0.9842,1.4292,,7.199821587867983,,
P06,em,deformable,1,,,0.1632,3.8269,,,,
P06,em,deformable,2,,,0.1736,6.1694,,0.046826222684703406,,
P06,em,deformable,3,,,0.3444,4.293,,0.5380536494073617,,
P06,em,deformable,4,,,0.3813,4.0998,,0.4111174350218175,,
P06,em,deformable,5,,,0.3632,3.4133,,0.33949468085106377,,
P06,em,fragile,1,1.0,,0.9842,4.2285,,1.584542271135568,,
P06,em,fragile,2,0.0,,0.9842,4.6867,,,,
P06,em,fragile,3,1.0,,0.9842,6.2999,,1.905651340996168,,
P06,em,fragile,4,1.0,,0.7776,5.0285,,0.497017892644135,,
P06,em,fragile,5,1.0,,0.662,5.6162,,0.508462104488595,,
P06,visual_only,deformable,1,,,0.2508,5.0225,,0.14804186360567198,,
P06,visual_only,deformable,2,,,0.1785,2.9541,,0.22278405710886387,,
P06,visual_only,deformable,3,,,0.1783,3.2906,,0.07271305707584058,,
P06,visual_only,deformable,4,,,0.1626,5.5003,,,,
P06,visual_only,deformable,5,,,0.0,,,,,
P06,visual_only,fragile,1,1.0,,0.9842,3.7732,,3.4537366548042687,,
P06,visual_only,fragile,2,1.0,,0.9842,3.0807,,3.215361999264981,,
P06,visual_only,fragile,3,1.0,,0.9842,2.3414,,3.4142581888246664,,
P06,visual_only,fragile,4,1.0,,0.2038,2.4213,,1.4616588419405359,,
P06,visual_only,fragile,5,0.0,,0.9842,2.0171,,3.1193502824858768,,
P07,lra,deformable,1,,,0.7739,3.8882,,0.44067553000359316,,
P07,lra,deformable,2,,,0.7793,6.6909,,0.4162699822380107,,
P07,lra,deformable,3,,,0.8547,1.3539,,2.752094972067039,,
P07,lra,deformable,4,,,0.8547,1.4205,,1.2768211920529802,,
P07,lra,deformable,5,,,0.8493,2.1501,,1.2804693414080242,,
P07,lra,fragile,1,1.0,,0.9842,3.2109,,2.017445917655269,,
P07,lra,fragile,2,1.0,,0.9842,1.4192,,3.016146788990826,,
P07,lra,fragile,3,1.0,,0.8843,3.418,,0.7308035714285717,,
P07,lra,fragile,4,0.0,,0.9842,1.7,,1.1510277033065217,,
P07,lra,fragile,5,1.0,,0.9842,3.0904,,2.2016546018614265,,
P07,em,deformable,1,,,0.4441,5.2277,,0.38565022421524664,,
P07,em,deformable,2,,,0.7618,2.5497,,0.2346660608814175,,
P07,em,deformable,3,,,0.7954,2.3768,,2.223482699943274,,
P07,em,deformable,4,,,0.8217,2.209,,1.761950286806883,,
P07,em,deformable,5,,,0.8008,2.4859,,1.9070796460177,,
P07,em,fragile,1,0.0,,0.9842,7.4954,,3.390015600624034,,
P07,em,fragile,2,0.0,,0.9842,6.0829,,1.1186440677966114,,
P07,em,fragile,3,1.0,,0.9842,2.8241,,1.6553618794998102,,
P07,em,fragile,4,0.0,,0.9842,3.8853,,,,
P07,em,fragile,5,1.0,,0.9842,3.0812,,1.4313075506445667,,
P07,visual_only,deformable,1,,,0.8552,4.6929,,1.2727607136288386,,
P07,visual_only,deformable,2,,,0.3735,4.1523,,0.33958122255994594,,
P07,visual_only,deformable,3,,,0.3917,3.2118,,0.4323383995605204,,
P07,visual_only,deformable,4,,,0.8143,3.294,,0.4865190540744086,,
P07,visual_only,deformable,5,,,0.8189,3.2327,,0.8861269268157201,,
P07,visual_only,fragile,1,0.0,,0.9842,4.6352,,,,
P07,visual_only,fragile,2,0.0,,0.9842,3.8939,,10.481832543443932,,
P07,visual_only,fragile,3,1.0,,0.9842,3.6828,,0.22805397362885435,,
P07,visual_only,fragile,4,1.0,,0.9842,3.8836,,2.8854961832060986,,
P07,visual_only,fragile,5,0.0,,0.9842,7.576,,4.39447907390916,,
P08,lra,deformable,1,,,0.1634,3.5663,,,,
P08,lra,deformable,2,,,0.1632,2.6919,,0.15015479876160973,,
P08,lra,deformable,3,,,0.2107,1.5477,,0.16256880733944948,,
P08,lra,deformable,4,,,0.5953,1.9519,,5.690625000000014,,
P08,lra,deformable,5,,,0.8021,1.8866,,1.861386138613862,,
P08,lra,fragile,1,1.0,,0.9842,2.7583,,4.159657320872286,,
P08,lra,fragile,2,1.0,,0.9842,1.7649,,,,
P08,lra,fragile,3,0.0,,0.9842,1.2124,,,,
P08,lra,fragile,4,1.0,,0.9842,1.8832,,5.942142298670841,,
P08,lra,fragile,5,1.0,,0.9842,1.6129,,5.577134986225896,,
P08,em,deformable,1,,,0.1632,2.4882,,,,
P08,em,deformable,2,,,0.4355,1.6189,,1.238144867118291,,
P08,em,deformable,3,,,0.374,1.7493,,,,
P08,em,deformable,4,,,0.378,1.8756,,0.31964285714285706,,
P08,em,deformable,5,,,0.3748,1.6157,,0.41194968553459055,,
P08,em,fragile,1,1.0,,0.9842,1.5559,,9.505477308294232,,
P08,em,fragile,2,1.0,,0.9842,1.7466,,4.218734910671172,,
P08,em,fragile,3,1.0,,0.9842,1.6861,,4.461218115564806,,
P08,em,fragile,4,0.0,,0.9842,1.3467,,3.4040561622464867,,
P08,em,fragile,5,1.0,,0.9842,3.0851,,4.14308093994778,,
P08,visual_only,deformable,1,,,0.1004,3.1515,,,,
P08,visual_only,deformable,2,,,0.0,,,,,
P08,visual_only,deformable,3,,,0.1665,1.5532,,,,
P08,visual_only,deformable,4,,,0.0,,,,,
P08,visual_only,deformable,5,,,0.0,,,,,
P08,visual_only,fragile,1,0.0,,0.9842,1.8909,,3.2051148225469728,,
P08,visual_only,fragile,2,0.0,,0.9842,1.4202,,0.3196060877350042,,
P08,visual_only,fragile,3,0.0,,0.9842,1.4939,,,,
P08,visual_only,fragile,4,0.0,,0.9842,1.6097,,,,
P08,visual_only,fragile,5,1.0,,0.9842,2.0795,,5.750700280112034,,
P09,lra,deformable,1,,,0.2504,4.4181,,0.18793793793793795,,
P09,lra,deformable,2,,,0.2274,3.8134,,0.30384271671134966,,
P09,lra,deformable,3,,,0.2085,5.815,,0.18195157740278814,,
P09,lra,deformable,4,,,0.2173,4.9536,,0.28196147110332737,,
P09,lra,deformable,5,,,0.2183,4.5529,,0.22626977518734415,,
P09,lra,fragile,1,1.0,,0.9842,4.7558,,2.017241379310345,,
