participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P03,lra,deformable,3,,2106.407,0.4601,1.8901,0.0,0.44221329763498446,0.0,0.12780000000000014
P03,lra,deformable,4,,5166.2715,0.4882,2.3634,0.0,0.6771619581626047,0.0,0.14469999999999983
P03,lra,deformable,5,,1613.6189,0.3822,2.0872,402.73900000000003,0.5379810094952525,1.0,0.20789999999999997
P03,lra,fragile,1,1.0,15585.3965,0.9842,2.4285,5758.104500000001,2.157031249999998,1.0,0.14290000000000003
P03,lra,fragile,2,0.0,27156.7656,0.9842,3.4956,11927.833999999999,1.572549019607844,3.0,0.2547999999999999
P03,lra,fragile,3,1.0,5340.1406,0.976,2.692,421.8872000000001,3.8012508686587925,1.0,0.11299999999999999
P03,lra,fragile,4,1.0,9463.2061,0.8552,3.6273,1761.146999999999,2.7550860719874772,1.0,0.1445000000000003
P03,lra,fragile,5,0.0,24550.293,0.9842,2.8965,6386.357500000002,1.7443298969072252,1.0,0.3990999999999998
P03,tactiles,deformable,1,,1487.7122,0.3914,2.5628,198.21339999999987,1.7452631578947408,4.0,0.42969999999999997
P03,tactiles,deformable,2,,530.7391,0.2566,2.2146,0.0,0.277183929229635,2.0,0.4645999999999999
P03,tactiles,deformable,3,,696.7015,0.2536,2.1454,8.031299999999987,0.4344695151224197,1.0,0.19110000000000005
P03,tactiles,deformable,4,,763.6246,0.2802,2.1014,83.15179999999998,0.2560375670840787,3.0,0.3186
P03,tactiles,deformable,5,,1023.9683,0.3154,2.1605,0.0,0.2873911397198031,0.0,0.12810000000000032
P03,tactiles,fragile,1,1.0,19799.791,0.9842,2.5518,7984.0830000000005,10.057644110275676,2.0,0.20809999999999995
P03,tactiles,fragile,2,0.0,37117.7188,0.9842,2.5572,787.836000000003,2.6333798882681565,1.0,0.30420000000000025
P03,tactiles,fragile,3,1.0,9445.5098,0.9842,7.3602,0.0,5.380062305295909,6.0,0.5430000000000001
P03,tactiles,fragile,4,0.0,24805.3203,0.9842,1.4973,19072.6846,,3.0,0.19199999999999995
P03,tactiles,fragile,5,1.0,19444.7324,0.9842,1.8742,9944.709,3.992784992784993,2.0,0.1272000000000002
P03,visual_only,deformable,1,,853.6808,0.3001,1.5482,7.706099999999992,0.13652148030558586,3.0,0.12790000000000035
P03,visual_only,deformable,2,,516.9152,0.2907,2.0189,2.858699999999999,0.8898186889818678,2.0,0.20719999999999983
P03,visual_only,deformable,3,,2794.9321,0.436,1.6079,254.90740000000005,0.32008002000500124,1.0,0.14419999999999966
P03,visual_only,deformable,4,,864.3644,0.2735,2.6891,62.82159999999999,0.21547483919788127,3.0,0.14370000000000038
P03,visual_only,deformable,5,,3780.0654,0.4629,4.9608,554.3456999999999,1.0705103233346305,3.0,0.07960000000000012
P03,visual_only,fragile,1,0.0,28321.5371,0.9842,1.9451,7964.669900000001,12.74844720496894,5.0,0.5917999999999997
P03,visual_only,fragile,2,0.0,39134.625,0.9842,1.7655,11623.0547,,5.0,0.28879999999999995
P03,visual_only,fragile,3,0.0,33129.3125,0.9842,2.1491,17529.345699999998,4.8050713153724125,7.0,0.20759999999999978
P03,visual_only,fragile,4,1.0,9316.4355,0.9842,2.9427,4463.5322,3.2200516033910787,13.0,1.3445000000000005
P03,visual_only,fragile,5,0.0,34946.3398,0.9842,1.8897,15626.128900000003,,3.0,0.3368000000000002
P04,lra,deformable,1,,3016.0308,0.6081,2.1429,1240.996,1.6904937361827568,19.0,0.7365999999999997
P04,lra,deformable,2,,3039.9424,0.6404,1.748,0.0,0.14191542288557213,4.0,0.39999999999999947
P04,lra,deformable,3,,2142.7827,0.5685,2.155,529.3838000000003,,13.0,0.6086
P04,lra,deformable,4,,2386.3733,0.506,2.4889,333.3294000000001,2.405274115197781,7.0,1.0715
P04,lra,deformable,5,,1710.2887,0.5899,1.4226,215.96170000000006,1.6809672386895491,9.0,1.2163
P04,lra,fragile,1,1.0,25372.2363,0.9842,2.7475,17460.3388,9.345679012345684,13.0,0.3194000000000008
P04,lra,fragile,2,1.0,17022.002,0.9842,3.1728,8913.356,2.6042008532983263,11.0,1.7439999999999998
P04,lra,fragile,3,1.0,9623.2637,0.984,3.3446,0.0,4.04144578313253,10.0,1.1833000000000005
P04,lra,fragile,4,1.0,11497.7969,0.9842,2.1531,0.0,2.101728890002504,12.0,1.4881000000000002
P04,lra,fragile,5,1.0,12532.7539,0.9842,2.4264,0.0,3.2167641325536067,8.0,1.4082
P04,tactiles,deformable,1,,2672.9004,0.5273,4.3778,1324.0217,,7.0,0.1778000000000004
P04,tactiles,deformable,2,,2785.7969,0.5347,3.3514,1555.2984,0.7912371134020609,5.0,0.14390000000000036
P04,tactiles,deformable,3,,1566.0984,0.5526,3.1699,137.52490000000012,3.283924843423811,8.0,0.3363999999999998
P04,tactiles,deformable,4,,2048.5845,0.5441,2.4132,221.04599999999982,2.0263565891472797,14.0,0.6561999999999992
P04,tactiles,deformable,5,,2221.6343,0.5519,2.4158,504.1079000000002,1.8763285024154601,5.0,0.20820000000000016
P04,tactiles,fragile,1,1.0,25760.0,0.9842,3.2199,14299.002,1.3180464562239433,23.0,2.672
P04,tactiles,fragile,2,1.0,12000.0703,0.9842,3.0108,4078.6664999999994,8.72113022113023,14.0,1.0084999999999997
