participant,condition,object,n_trials,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s,fragile_survived
P04,tactiles,fragile,5,24896.7715,0.9842,2.9026,9874.6289,1.3180464562239433,14.0,1.0084999999999997,1.0
P04,visual_only,deformable,5,3868.3577,0.7604,2.6876,1418.0962,1.2854914196567895,5.0,0.40090000000000003,
P04,visual_only,fragile,5,23385.0742,0.9842,4.0249,8680.773500000001,6.006191950464439,10.0,1.0716999999999999,1.0
P05,lra,deformable,5,818.6753,0.2808,4.5487,0.0,0.09257329959815447,1.0,0.12819999999999965,
P05,lra,fragile,5,6969.5679,0.7284,5.6199,253.03620000000046,1.4895586652314312,4.0,0.41690000000000005,1.0
P05,tactiles,deformable,5,632.963,0.2222,4.0862,55.22789999999998,0.11244143675169191,4.0,0.14430000000000032,
P05,tactiles,fragile,5,13530.4072,0.8552,3.6916,935.0352000000003,1.4274292519135647,1.0,0.3205,1.0
P05,visual_only,deformable,5,321.5365,0.1672,4.5642,103.7242,1.76627591262206,2.0,0.14469999999999983,
P05,visual_only,fragile,5,24195.2559,0.9842,3.5585,4684.966799999998,2.257037884864375,5.0,0.2887000000000004,1.0
P06,lra,deformable,5,741.0669,0.2803,3.2891,5.833999999999946,0.1999666722212964,5.0,0.24009999999999998,
P06,lra,fragile,5,11207.9062,0.9062,3.8872,3087.3841999999995,3.3136792452830135,3.0,0.6076000000000001,1.0
P06,tactiles,deformable,5,543.9985,0.3444,4.0998,32.62289999999996,0.3753060579364407,6.0,0.20779999999999976,
P06,tactiles,fragile,5,16269.6455,0.9842,5.0285,7150.898400000002,1.0465021878120815,5.0,0.3036000000000003,1.0
P06,visual_only,deformable,5,169.1049,0.1783,4.15655,3.2467499999999916,0.14804186360567198,6.0,0.49540000000000006,
P06,visual_only,fragile,5,23259.1875,0.9842,2.4213,2493.710899999998,3.215361999264981,11.0,1.1360000000000001,1.0
P07,lra,deformable,5,11850.374,0.8493,2.1501,836.4629000000004,1.2768211920529802,14.0,1.1988000000000003,
P07,lra,fragile,5,30094.875,0.9842,3.0904,1572.5391000000018,2.017445917655269,7.0,0.9425000000000003,1.0
P07,tactiles,deformable,5,1425.7446,0.7954,2.4859,54.6717000000001,1.761950286806883,29.0,0.43239999999999945,
P07,tactiles,fragile,5,26813.7949,0.9842,3.8853,1426.6542999999983,1.5433347150721883,1.0,0.15950000000000042,0.0
P07,visual_only,deformable,5,9906.8906,0.8143,3.294,60.313499999998385,0.4865190540744086,1.0,0.2887000000000004,
P07,visual_only,fragile,5,32427.4336,0.9842,3.8939,665.9805000000015,3.6399876285576296,8.0,0.14360000000000017,0.0
P08,lra,deformable,5,533.2024,0.2107,1.9519,101.22020000000003,1.0119774729766557,9.0,0.12890000000000024,
P08,lra,fragile,5,21658.8848,0.9842,1.7649,3512.2285999999986,5.577134986225896,5.0,0.6071,1.0
P08,tactiles,deformable,5,1238.4863,0.3748,1.7493,22.905599999999993,0.41194968553459055,4.0,0.19199999999999973,
P08,tactiles,fragile,5,12597.6816,0.9842,1.6861,4624.7871,4.218734910671172,5.0,0.20900000000000007,1.0
P08,visual_only,deformable,5,0.0,0.0,2.35235,16.087250000000004,,1.5,0.14419999999999988,
P08,visual_only,fragile,5,27113.6016,0.9842,1.6097,10672.788999999999,3.2051148225469728,7.0,0.6706999999999999,0.0
P09,lra,deformable,5,150.6381,0.2183,4.5529,0.0,0.22626977518734415,6.0,0.1272000000000002,
P09,lra,fragile,5,4594.7871,0.984,4.7558,0.0,2.017241379310345,5.0,0.6548999999999996,1.0
P09,tactiles,deformable,5,125.9262,0.1676,3.085,52.116800000000005,0.1268368231813769,17.0,0.2556999999999996,
P09,tactiles,fragile,5,6444.4814,0.9842,4.0131,367.0634,2.2323269513991137,5.0,0.8956999999999997,1.0
P09,visual_only,deformable,5,252.1239,0.1767,4.7604,34.049800000000005,0.055173221451811916,4.0,0.3357000000000001,
P09,visual_only,fragile,5,12762.0752,0.9842,4.0826,4590.2822,2.8767624020887723,10.0,1.2006999999999994,1.0
P10,lra,deformable,5,893.4824,0.3769,2.1526,298.8275,0.48350226439508276,1.0,0.19200000000000017,
P10,lra,fragile,5,9530.1719,0.7766,5.2292,1.1952999999994063,2.3232788342478283,2.0,0.12819999999999965,1.0
P10,tactiles,deformable,5,840.7013,0.483,2.2891,0.0,0.48104624715693745,1.0,0.33630000000000004,
P10,tactiles,fragile,5,16921.7305,0.9842,2.6825,544.0029999999988,0.11616455405094628,6.0,0.14340000000000064,1.0
P10,visual_only,deformable,5,0.0,0.0,,,,,,
P10,visual_only,fragile,5,11026.4658,0.6828,3.7633,19.264600000000428,1.6622617650346527,9.0,0.7999999999999998,1.0
P11,lra,deformable,5,1543.7335,0.5118,2.2915,16.540100000000052,0.5479519657838461,1.0,0.2721999999999998,
P11,lra,fragile,5,10404.0488,0.8048,3.2803,394.7011000000002,1.858667648141332,7.0,1.0713,1.0
P11,tactiles,deformable,5,740.7124,0.3403,3.297,0.0,1.1812499999999986,2.0,0.25609999999999955,
P11,tactiles,fragile,5,9662.3301,0.804,3.2896,366.5859999999998,1.1485000000000003,1.0,0.19130000000000003,1.0
P11,visual_only,deformable,5,2969.9924,0.8175,1.8996,85.5784000000001,1.3026442307692312,9.0,1.0076,
P11,visual_only,fragile,5,20296.4707,0.9723,4.0213,1937.6446000000033,1.6693459992692687,7.0,0.7359999999999998,1.0
P12,lra,deformable,5,112.8463,0.1631,3.9518,8.461400000000005,0.047274116847826085,6.0,0.3360000000000003,
P12,lra,fragile,5,4091.1628,0.7688,5.092,185.71280000000024,0.24622494142150475,4.0,0.1922000000000006,1.0
P12,tactiles,deformable,5,117.6901,0.1783,2.4796,25.251499999999993,0.3429543911690995,17.0,0.6067000000000005,
P12,tactiles,fragile,5,4026.4783,0.7138,3.5513,75.60619999999994,1.439942112879884,17.0,1.2966000000000006,1.0
P12,visual_only,deformable,5,217.9006,0.2943,2.8099,6.926400000000001,0.12363352198249553,10.0,1.1997,
P12,visual_only,fragile,5,7483.4414,0.9842,5.8698,12632.299300000002,3.6456641234399463,19.0,0.3366500000000001,1.0
P13,lra,deformable,5,296.7778,0.2218,2.1583,83.32320000000004,0.2282608695652172,1.0,0.2734000000000001,
P13,lra,fragile,5,25241.9023,0.9842,2.7463,0.0,1.3006714747575234,0.0,0.12870000000000004,0.0
P13,tactiles,deformable,5,228.9479,0.1632,2.8852,3.747099999999989,0.29085799192777345,1.0,0.20860000000000012,
P13,tactiles,fragile,5,10290.1299,0.682,3.2777,0.0,2.4185362265538837,0.0,0.06479999999999997,1.0
P13,visual_only,deformable,5,0.0,0.0,2.222,38.078599999999994,0.5900029753049687,1.0,0.20789999999999997,
P13,visual_only,fragile,5,9291.7627,0.6233,2.2872,0.0,2.6808510638297864,0.0,0.1924999999999999,1.0
P14,lra,deformable,5,1086.5011,0.3779,2.5539,52.33020000000002,0.6692477876106186,9.0,0.7201999999999997,
P14,lra,fragile,5,12048.8682,0.7618,3.0801,0.0,2.10144230769231,7.0,0.9277999999999995,1.0
P14,tactiles,deformable,5,1376.6466,0.378,1.8909,200.16890000000012,1.8763625704263864,8.0,0.2708000000000004,
P14,tactiles,fragile,5,26592.1973,0.9832,2.6196,351.6934000000001,2.1308724832214754,4.0,0.28790000000000004,1.0
P14,visual_only,deformable,5,1808.0828,0.378,2.2308,490.7747999999999,0.7523413111342351,10.0,0.7833000000000001,
P14,visual_only,fragile,5,19637.8906,0.9842,2.45735,1455.141099999999,1.4666012845882501,14.5,1.1680500000000003,1.0
P15,lra,deformable,5,1190.4135,0.3779,2.7588,129.414,0.6198738170346991,5.0,0.3998999999999997,
P15,lra,fragile,5,8588.5391,0.7771,3.4151,155.08299999999963,1.9272076372315037,4.0,0.33830000000000027,1.0
P15,tactiles,deformable,5,663.2562,0.3761,2.2826,20.521099999999933,1.072916666666668,12.0,0.14460000000000006,
P15,tactiles,fragile,5,24352.0,0.9842,4.4914,0.0,1.2347847643755094,2.0,0.11189999999999989,0.0
P15,visual_only,deformable,5,1895.0027,0.4218,3.2954,28.497100000000046,0.42753935734310955,2.0,0.14480000000000004,
P15,visual_only,fragile,5,13581.291,0.9842,4.0271,418.97700000000077,3.3554503811535628,3.0,0.1280000000000001,0.0
P16,lra,deformable,5,792.8078,0.3926,3.361,0.0,0.26750795816280143,4.0,0.1280000000000001,
P16,lra,fragile,5,27302.4355,0.9842,2.9539,5125.8516,3.0474090407938257,2.0,0.14380000000000015,1.0
P16,tactiles,deformable,5,5.4164,0.1467,3.6142,0.0,0.2697389622945536,8.0,0.12809999999999988,
P16,tactiles,fragile,5,15690.3115,0.9842,4.1548,10.872699999999995,2.9823468328141143,1.0,0.07950000000000124,0.0
P16,visual_only,deformable,5,122.3683,0.2259,4.1486,0.0,0.44350335654683426,2.0,0.08000000000000007,
P16,visual_only,fragile,5,1050.9519,0.4618,4.7656,0.0,2.8906551059730217,4.0,0.08040000000000003,1.0
P17,lra,deformable,5,4520.7437,0.9842,3.4223,926.9497999999999,4.135322692574604,3.0,0.2084999999999999,
P17,lra,fragile,5,10926.2812,0.812,5.0195,1297.3916000000002,1.8676612127045258,1.0,0.14499999999999957,1.0
P17,tactiles,deformable,5,4140.8984,0.9663,4.7476,421.625,1.7601880877742921,6.0,0.7365000000000004,
P17,tactiles,fragile,5,10892.4824,0.7781,5.3645,0.0,3.4880803011292394,2.0,0.4006999999999996,1.0
P17,visual_only,deformable,5,4195.4717,0.9802,2.8094,574.5161000000003,1.1495466032406723,13.0,1.0088,
P17,visual_only,fragile,5,20300.0859,0.9842,7.1666,2268.5224,0.8826275030627637,5.0,0.12789999999999946,1.0
P18,lra,deformable,5,4033.7554,0.9841,3.816,943.6735999999996,0.2576969028581932,13.0,0.24100000000000055,
